country,gdp_for_year,gdp_per_capita,suicides_no,population
Antigua and Barbuda,"1,364,863,037",14853,1,91889
Argentina,"594,749,285,413",14981,3073,39699624
Armenia,"10,553,337,673",3775,74,2795335
Australia,"1,349,034,029,453",60656,3027,22240785
Austria,"382,065,930,308",46484,1251,8219386
Belgium,"455,039,563,133",42830,1867,10624356
Belize,"1,778,567,600",5561,26,319835
Brazil,"1,802,214,373,741",9431,11163,191087085
Chile,"243,999,477,738",14729,1838,16565725
Colombia,"291,519,591,533",6552,2332,44490427
Croatia,"49,425,513,611",12351,739,4001669
Cuba,"87,132,800,000",8044,1511,10832068
Cyprus,"19,676,167,240",24718,40,796037
Czech Republic,"186,829,940,546",18703,1387,9989325
Denmark,"301,298,464,861",55972,564,5383060
Ecuador,"99,290,381,000",6832,1073,14534024
Estonia,"22,566,956,982",18149,195,1243450
Finland,"232,464,833,066",44862,731,5181797
Georgia,"13,993,546,732",4046,192,3458400
Germany,"3,375,611,100,742",43201,10088,78136683
Greece,"195,541,761,243",18927,529,10331286
Grenada,"997,007,926",10290,0,96892
Guatemala,"63,767,597,194",4472,494,14258397
Hungary,"122,879,042,002",13087,1868,9389519
Iceland,"16,942,247,374",54909,40,308554
Israel,"299,093,839,690",39793,342,7516180
Italy,"1,832,868,490,534",31537,3988,58117697
Japan,"4,394,977,752,878",36510,23092,120376310
Kazakhstan,"184,388,432,149",11784,2872,15646752
Kyrgyzstan,"6,678,178,340",1285,417,5195827
Latvia,"26,972,863,394",14382,387,1875522
Lithuania,"41,508,609,233",15073,896,2753926
Luxembourg,"57,784,495,265",107456,64,537748
Malta,"10,574,026,838",25750,34,410637
Mauritius,"11,692,287,066",10125,104,1154848
Mexico,"1,169,622,672,463",10228,6234,114357884
Netherlands,"757,999,453,314",47206,1873,16057342
Nicaragua,"12,611,087,031",2303,315,5476483
Norway,"386,663,139,403",79187,590,4882909
Panama,"54,315,722,500",15158,110,3583382
Poland,"477,355,617,456",13228,5420,36086575
Puerto Rico,"103,143,500,000",29728,226,3469521
Qatar,"164,641,483,516",69937,66,2354147
Republic of Korea,"1,382,764,027,114",28410,13510,48671752
Romania,"177,911,101,680",9431,2228,18863927
Russian Federation,"1,368,400,705,491",9987,25432,137018943
Saint Vincent and Grenadines,"756,666,667",7496,3,100948
Serbia,"37,160,332,465",5492,1062,6766406
Seychelles,"1,375,604,279",16005,7,85949
Singapore,"304,097,759,674",81766,329,3719115
Slovenia,"43,072,415,017",22036,422,1954632
South Africa,"317,741,039,198",6403,482,49627460
Spain,"1,197,789,902,774",27108,3604,44186528
Sweden,"497,918,109,302",54629,1182,9114524
Switzerland,"679,289,166,858",86068,1073,7892502
Thailand,"401,399,422,443",6552,4205,61261276
Turkey,"859,796,872,794",11961,1532,71880464
Turkmenistan,"35,799,628,571",7326,133,4886514
Ukraine,"91,030,959,455",2256,7574,40345446
United Kingdom,"2,885,570,309,161",47240,4910,61082942
United States,"18,120,714,000,000",60387,44189,300078511
Uruguay,"53,274,304,222",16696,630,3190795
